id,nome,idade,peso,velocidadeMaxima,raca
1,Valente_4740,12,372.79,64.37,Quarto de Milha
2,Ventania_6483,9,549.09,46.76,Campolina
3,Pegasus_954,15,502.88,71.46,Campolina
4,Espartano_4429,6,484.46,51.84,Campolina
5,Veloz_4481,14,513.43,48.92,Campolina
6,Tempestade_2625,15,489.78,68.99,Puro Sangue
7,Relampago_3642,9,533.36,44.82,Crioulo
8,Furacão_2623,2,398.33,53.11,Crioulo
9,Espartano_4589,6,484.94,74.57,Paint Horse
10,Pegasus_8445,15,558.18,70.24,Quarto de Milha
11,Galante_2706,13,361.01,41.49,Appaloosa
12,Espartano_6617,5,352.12,59.62,Appaloosa
13,Veloz_1553,7,551.18,65.69,Quarto de Milha
14,Furacão_262,11,516.78,74.45,Mangalarga
15,Sombra_9248,10,435.33,45.74,Campolina
16,Trovão_4242,3,559.92,41.86,Quarto de Milha
17,Veloz_1860,10,580.34,42.05,Crioulo
18,Veloz_4081,10,378.28,41.03,Quarto de Milha
19,Mustang_1907,6,496.11,67.82,Quarto de Milha
20,Dominante_9036,11,517.58,57.95,Mangalarga
21,Ventania_3711,9,533.55,65.31,Quarto de Milha
22,Mustang_6129,10,594.27,62.84,Appaloosa
23,Trovão_693,3,564.33,44.28,Quarto de Milha
24,Pegasus_5687,8,364.53,49.77,Appaloosa
25,Trovão_1269,5,581.48,46.31,Campolina
26,Raio_4318,6,565.38,52.46,Campolina
27,Furacão_4067,3,547.49,64.34,Quarto de Milha
28,Raio_2753,14,412.89,58.24,Paint Horse
29,Dominante_7432,14,467.15,49.86,Puro Sangue
30,Pegasus_4845,7,363.47,69.93,Quarto de Milha
31,Sombra_5345,3,537.82,43.99,Puro Sangue
32,Estrela_1400,2,546.95,41.33,Puro Sangue
33,Estrela_7463,13,381.73,59.84,Quarto de Milha
34,Galante_9769,13,485.5,43.99,Puro Sangue
35,Dominante_4298,13,565.21,62.75,Crioulo
36,Galante_8433,9,490.0,52.35,Puro Sangue
37,Veloz_6722,11,373.48,52.76,Paint Horse
38,Relampago_816,14,416.14,59.56,Appaloosa
39,Ventania_7488,5,561.05,50.96,Paint Horse
40,Dominante_317,11,459.57,57.73,Mangalarga
41,Raio_706,15,500.11,53.81,Mangalarga
42,Raio_8278,6,527.87,61.64,Puro Sangue
43,Espartano_7389,15,494.68,61.3,Appaloosa
44,Ventania_7197,9,533.09,43.79,Quarto de Milha
45,Sombra_2796,8,509.18,45.75,Quarto de Milha
46,Atlas_5465,2,596.41,71.72,Mangalarga
47,Dominante_3226,10,530.55,70.07,Mangalarga
48,Cometa_36,2,582.21,66.48,Paint Horse
49,Lendario_6133,12,568.98,44.9,Paint Horse
50,Ventania_4222,2,419.42,69.28,Paint Horse
51,Espartano_7775,5,581.11,53.58,Campolina
52,Apollo_4861,8,490.74,53.63,Mangalarga
53,Sombra_5005,8,405.73,41.75,Crioulo
